Diet#;FoodItem;Category;Value;;;
1;Egg, duck;Daily Costs;478,61;;;
1;Egg, duck;Daily Intake (g);13,40;;;
1;Egg, duck;Energy (kcal);24,78;;;
1;Egg, duck;Protein (g);1,71;;;
1;Egg, duck;Fat (g);1,85;;;
1;Fish, sardines, canned in oil;Daily Costs;662,58;;;
1;Fish, sardines, canned in oil;Daily Intake (g);11,67;;;
1;Fish, sardines, canned in oil;Energy (kcal);39,80;;;
1;Fish, sardines, canned in oil;Protein (g);2,87;;;
1;Fish, sardines, canned in oil;Fat (g);3,09;;;
1;Beansprout, soybean, raw;Daily Costs;1418,59;;;
1;Beansprout, soybean, raw;Daily Intake (g);155,29;;;
1;Beansprout, soybean, raw;Energy (kcal);189,46;;;
1;Beansprout, soybean, raw;Protein (g);20,34;;;
1;Beansprout, soybean, raw;Fat (g);10,40;;;
1;Peanut, without shell;Daily Costs;860,67;;;
1;Peanut, without shell;Daily Intake (g);44,13;;;
1;Peanut, without shell;Energy (kcal);250,20;;;
1;Peanut, without shell;Protein (g);11,38;;;
1;Peanut, without shell;Fat (g);21,71;;;
1;Tempeh, soybean;Daily Costs;1518,39;;;
1;Tempeh, soybean;Daily Intake (g);158,30;;;
1;Tempeh, soybean;Energy (kcal);315,02;;;
1;Tempeh, soybean;Protein (g);30,08;;;
1;Tempeh, soybean;Fat (g);12,19;;;
1;Cassava, tuber, dried;Daily Costs;2137,38;;;
1;Cassava, tuber, dried;Daily Intake (g);415,27;;;
1;Cassava, tuber, dried;Energy (kcal);1441,00;;;
1;Cassava, tuber, dried;Protein (g);8,72;;;
1;Cassava, tuber, dried;Fat (g);2,49;;;
1;Leaf, cassava, raw;Daily Costs;1536,55;;;
1;Leaf, cassava, raw;Daily Intake (g);242,56;;;
1;Leaf, cassava, raw;Energy (kcal);89,75;;;
1;Leaf, cassava, raw;Protein (g);8,97;;;
1;Leaf, cassava, raw;Fat (g);0,49;;;
2;Fish, sardines, canned in oil;Daily Costs;363,94;;;
2;Fish, sardines, canned in oil;Daily Intake (g);6,41;;;
2;Fish, sardines, canned in oil;Energy (kcal);21,86;;;
2;Fish, sardines, canned in oil;Protein (g);1,58;;;
2;Fish, sardines, canned in oil;Fat (g);1,70;;;
2;Maize, yellow, grain or flour, CotD;Daily Costs;996,49;;;
2;Maize, yellow, grain or flour, CotD;Daily Intake (g);167,02;;;
2;Maize, yellow, grain or flour, CotD;Energy (kcal);604,60;;;
2;Maize, yellow, grain or flour, CotD;Protein (g);13,53;;;
2;Maize, yellow, grain or flour, CotD;Fat (g);6,01;;;
2;Beansprout, soybean, raw;Daily Costs;746,48;;;
2;Beansprout, soybean, raw;Daily Intake (g);81,72;;;
2;Beansprout, soybean, raw;Energy (kcal);99,70;;;
2;Beansprout, soybean, raw;Protein (g);10,71;;;
2;Beansprout, soybean, raw;Fat (g);5,48;;;
2;Peanut, without shell;Daily Costs;398,47;;;
2;Peanut, without shell;Daily Intake (g);20,43;;;
2;Peanut, without shell;Energy (kcal);115,84;;;
2;Peanut, without shell;Protein (g);5,27;;;
2;Peanut, without shell;Fat (g);10,05;;;
2;Tempeh, soybean;Daily Costs;783,82;;;
2;Tempeh, soybean;Daily Intake (g);81,72;;;
2;Tempeh, soybean;Energy (kcal);162,62;;;
2;Tempeh, soybean;Protein (g);15,53;;;
2;Tempeh, soybean;Fat (g);6,29;;;
2;Tofu;Daily Costs;67,26;;;
2;Tofu;Daily Intake (g);7,74;;;
2;Tofu;Energy (kcal);5,88;;;
2;Tofu;Protein (g);0,63;;;
2;Tofu;Fat (g);0,37;;;
2;Cassava, tuber, dried;Daily Costs;39,74;;;
2;Cassava, tuber, dried;Daily Intake (g);7,72;;;
2;Cassava, tuber, dried;Energy (kcal);26,79;;;
2;Cassava, tuber, dried;Protein (g);0,16;;;
2;Cassava, tuber, dried;Fat (g);0,05;;;
2;Leaf, cassava, raw;Daily Costs;868,17;;;
2;Leaf, cassava, raw;Daily Intake (g);137,05;;;
2;Leaf, cassava, raw;Energy (kcal);50,71;;;
2;Leaf, cassava, raw;Protein (g);5,07;;;
2;Leaf, cassava, raw;Fat (g);0,27;;;
